Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Gojushiho Sho,38.4,7.68,FALSE,Jasmin Juettner,rr,2024 Paris
Kishimoto,39.4,7.88,TRUE,Mahsa Afsaneh,rr,2024 Paris
Papuren,37.1,7.42,FALSE,Jana Vanusanikova,rr,2024 Paris
Ohan Dai,38.9,7.78,TRUE,Chiara Manca,rr,2024 Paris
Gojushiho Dai,39.1,7.82,TRUE,Mahsa Afsaneh,rr,2024 Paris
Suparinpei,36.6,7.32,FALSE,Jana Vanusanikova,rr,2024 Paris
Unsu,38.6,7.72,FALSE,Jasmin Juettner,rr,2024 Paris
Suparinpei,39.2,7.84,TRUE,Chiara Manca,rr,2024 Paris
Sansai,39,7.8,TRUE,Jasmin Juettner,rr,2024 Paris
Anan Dai,36.8,7.36,FALSE,Jana Vanusanikova,rr,2024 Paris
Chatanyara,40.8,8.16,TRUE,Mahsa Afsaneh,rr,2024 Paris
Papuren,39.4,7.88,FALSE,Chiara Manca,rr,2024 Paris
Papuren,40.3,8.06,TRUE,Carola Casale,rr,2024 Paris
Papuren,37.8,7.56,FALSE,Nicole Turner,rr,2024 Paris
Unsu,38.6,7.72,FALSE,Aya En-Nesyry,rr,2024 Paris
Chibana,41.9,8.38,TRUE,Maho Ono,rr,2024 Paris
Ohan Dai,37,7.4,FALSE,Nicole Turner,rr,2024 Paris
Gojushiho Sho,40.2,8.04,TRUE,Aya En-Nesyry,rr,2024 Paris
Chibana,30.7,6.14,FALSE,Carola Casale,rr,2024 Paris
Papuren,42.2,8.44,TRUE,Maho Ono,rr,2024 Paris
Chatanyara,38.7,7.74,TRUE,Carola Casale,rr,2024 Paris
Gankaku,37.9,7.58,FALSE,Aya En-Nesyry,rr,2024 Paris
Chatanyara,36.7,7.34,FALSE,Nicole Turner,rr,2024 Paris
Nipaipo,41,8.2,TRUE,Maho Ono,rr,2024 Paris
Anan,37.9,7.58,FALSE,Ana Cruz,rr,2024 Paris
Gojushiho Sho,38.2,7.64,TRUE,Helvetia Taily,rr,2024 Paris
Kururunfa,40,8,TRUE,Natsuki Shimizu,rr,2024 Paris
Papuren,39.3,7.86,FALSE,Garcia Lozano Paola,rr,2024 Paris
Gojushiho Dai,39.7,7.94,FALSE,Helvetia Taily,rr,2024 Paris
Suparinpei,41,8.2,TRUE,Natsuki Shimizu,rr,2024 Paris
Papuren,38.7,7.74,FALSE,Ana Cruz,rr,2024 Paris
Suparinpei,39.6,7.92,TRUE,Garcia Lozano Paola,rr,2024 Paris
Ohan Dai,38.7,7.74,FALSE,Ana Cruz,rr,2024 Paris
Anan,40.7,8.14,TRUE,Natsuki Shimizu,rr,2024 Paris
Gankaku,39.5,7.9,TRUE,Helvetia Taily,rr,2024 Paris
Chatanyara,39.1,7.82,FALSE,Garcia Lozano Paola,rr,2024 Paris
Papuren,39.8,7.96,TRUE,Xenou Georgia Archontia,rr,2024 Paris
Anan Dai,37.5,7.5,FALSE,Roberta Dominici,rr,2024 Paris
Chatanyara,39.9,7.98,FALSE,Xenou Georgia Archontia,rr,2024 Paris
Tomari Bassai,41.9,8.38,TRUE,Grace Lau,rr,2024 Paris
Ohan Dai,37.5,7.5,FALSE,Roberta Dominici,rr,2024 Paris
,39.4,7.88,TRUE,Grace Lau,rr,2024 Paris
Anan Dai,40.8,8.16,FALSE,Dilara Bozan,r1,2024 Paris
Papuren,42.8,8.56,TRUE,Mirisa Ohuchi,r1,2024 Paris
Suparinpei,41.9,8.38,FALSE,Terryana D'Onofrio,r1,2024 Paris
Chibana,43,8.6,TRUE,Saeko Azuma,r1,2024 Paris
Unsu,40.9,8.18,FALSE,Mahsa Afsaneh,r1,2024 Paris
Suparinpei,42.5,8.5,TRUE,Maho Ono,r1,2024 Paris
Chatanyara,41.1,8.22,FALSE,Natsuki Shimizu,r1,2024 Paris
Suparinpei,42.9,8.58,TRUE,Grace Lau,r1,2024 Paris
Chatanyara,42.1,8.42,FALSE,Mirisa Ohuchi,r2,2024 Paris
Oyadomari No Passai,43,8.6,TRUE,Saeko Azuma,r2,2024 Paris
Chatanyara,42.7,8.54,TRUE,Maho Ono,r2,2024 Paris
Chatanyara,42.1,8.42,FALSE,Grace Lau,r2,2024 Paris
Chatanyara,43.6,8.72,FALSE,Saeko Azuma,r3,2024 Paris
Papuren,44,8.8,TRUE,Maho Ono,r3,2024 Paris
Anan Dai,41.9,8.38,FALSE,Terryana D'Onofrio,rpc,2024 Paris
Papuren,43.5,8.7,TRUE,Mirisa Ohuchi,rpc,2024 Paris
Chibana,41,8.2,FALSE,Mahsa Afsaneh,rpc,2024 Paris
Papuren,43.6,8.72,TRUE,Grace Lau,rpc,2024 Paris
Chatanyara,40.4,8.08,TRUE,Saeko Azuma,rr,2024 Antalya
Suparinpei,38.6,7.72,FALSE,Terryana D'Onofrio,rr,2024 Antalya
Suparinpei,38,7.6,TRUE,Tung Yee Yin,rr,2024 Antalya
Papuren,37.3,7.46,FALSE,Claudia Laos-Loo,rr,2024 Antalya
Ohan,40.1,8.02,TRUE,Terryana D'Onofrio,rr,2024 Antalya
Ohan Dai,40.1,8.02,FALSE,Tung Yee Yin,rr,2024 Antalya
Papuren,41.8,8.36,TRUE,Saeko Azuma,rr,2024 Antalya
Chatanyara,37.6,7.52,FALSE,Claudia Laos-Loo,rr,2024 Antalya
Suparinpei,41.5,8.3,TRUE,Saeko Azuma,rr,2024 Antalya
Papuren,39,7.8,FALSE,Tung Yee Yin,rr,2024 Antalya
Papuren,39.9,7.98,TRUE,Terryana D'Onofrio,rr,2024 Antalya
Chibana,37.9,7.58,FALSE,Claudia Laos-Loo,rr,2024 Antalya
Anan Dai,38.6,7.72,FALSE,Athina Tsiakmaki,rr,2024 Antalya
Kururunfa,39.3,7.86,TRUE,Ana Cruz,rr,2024 Antalya
Suparinpei,38.7,7.74,FALSE,Shirley Jay,rr,2024 Antalya
Suparinpei,40.9,8.18,TRUE,Mirisa Ohuchi,rr,2024 Antalya
Ohan Dai,41.2,8.24,TRUE,Ana Cruz,rr,2024 Antalya
Papuren,38.9,7.78,FALSE,Shirley Jay,rr,2024 Antalya
Ohan Dai,38.5,7.7,FALSE,Athina Tsiakmaki,rr,2024 Antalya
Chibana,41,8.2,TRUE,Mirisa Ohuchi,rr,2024 Antalya
Papuren,37.9,7.58,TRUE,Athina Tsiakmaki,rr,2024 Antalya
Chibana,37.7,7.54,FALSE,Shirley Jay,rr,2024 Antalya
Papuren,41.3,8.26,TRUE,Ana Cruz,rr,2024 Antalya
Nipaipo,40.8,8.16,FALSE,Mirisa Ohuchi,rr,2024 Antalya
Chibana,37.6,7.52,FALSE,Carolina Amato,rr,2024 Antalya
Papuren,38.2,7.64,TRUE,Xenou Georgia Archontia,rr,2024 Antalya
Kururunfa,38.6,7.72,TRUE,Dilara Bozan,rr,2024 Antalya
Papuren,38.5,7.7,FALSE,Wong Sze Man,rr,2024 Antalya
Chatanyara,38.3,7.66,FALSE,Xenou Georgia Archontia,rr,2024 Antalya
Anan Dai,39.4,7.88,TRUE,Dilara Bozan,rr,2024 Antalya
Papuren,37.3,7.46,FALSE,Carolina Amato,rr,2024 Antalya
Chibana,38.7,7.74,TRUE,Wong Sze Man,rr,2024 Antalya
Chatanyara,37.8,7.56,FALSE,Carolina Amato,rr,2024 Antalya
Ohan Dai,39.7,7.94,TRUE,Dilara Bozan,rr,2024 Antalya
Chibana,38.9,7.78,TRUE,Xenou Georgia Archontia,rr,2024 Antalya
Suparinpei,38.7,7.74,FALSE,Wong Sze Man,rr,2024 Antalya
Unsu,37.6,7.52,FALSE,Turemen Damla Su,rr,2024 Antalya
Chatanyara,38.1,7.62,TRUE,Morales Ozuna Gema,rr,2024 Antalya
Gojushiho Dai,38.3,7.66,FALSE,Turemen Damla Su,rr,2024 Antalya
Chatanyara,39.5,7.9,TRUE,Sakura Kokumai,rr,2024 Antalya
Chibana,38.7,7.74,FALSE,Morales Ozuna Gema,rr,2024 Antalya
Kururunfa,39.3,7.86,TRUE,Sakura Kokumai,rr,2024 Antalya
Papuren,38.7,7.74,FALSE,Veronika Miskova,rr,2024 Antalya
Kururunfa,39.5,7.9,TRUE,Colak Keyda Nur,rr,2024 Antalya
Kururunfa,41.5,8.3,TRUE,Natsuki Shimizu,rr,2024 Antalya
Anan Dai,40.2,8.04,FALSE,Carola Casale,rr,2024 Antalya
Chatanyara,40.2,8.04,FALSE,Colak Keyda Nur,rr,2024 Antalya
Chatanyara,40.3,8.06,TRUE,Natsuki Shimizu,rr,2024 Antalya
Suparinpei,38.6,7.72,FALSE,Veronika Miskova,rr,2024 Antalya
Kururunfa,40.8,8.16,TRUE,Carola Casale,rr,2024 Antalya
Kururunfa,39,7.8,FALSE,Veronika Miskova,rr,2024 Antalya
Anan,40.3,8.06,TRUE,Natsuki Shimizu,rr,2024 Antalya
Anan Dai,41.1,8.22,FALSE,Colak Keyda Nur,rr,2024 Antalya
Papuren,42,8.4,TRUE,Carola Casale,rr,2024 Antalya
Gojushiho Sho,39.2,7.84,FALSE,Aya En-Nesyry,rr,2024 Antalya
Papuren,40.2,8.04,TRUE,Lo Sum Man,rr,2024 Antalya
Chatanyara,39.2,7.84,FALSE,Mahsa Afsaneh,rr,2024 Antalya
Chibana,41,8.2,TRUE,Maho Ono,rr,2024 Antalya
Suparinpei,41.2,8.24,TRUE,Lo Sum Man,rr,2024 Antalya
Kishimoto,39.7,7.94,FALSE,Mahsa Afsaneh,rr,2024 Antalya
Unsu,38.5,7.7,FALSE,Aya En-Nesyry,rr,2024 Antalya
Suparinpei,41.5,8.3,TRUE,Maho Ono,rr,2024 Antalya
Gankaku,39.3,7.86,TRUE,Aya En-Nesyry,rr,2024 Antalya
Unsu,39.1,7.82,FALSE,Mahsa Afsaneh,rr,2024 Antalya
Chibana,40.4,8.08,FALSE,Lo Sum Man,rr,2024 Antalya
Nipaipo,42.5,8.5,TRUE,Maho Ono,rr,2024 Antalya
Gojushiho Dai,39.5,7.9,TRUE,Helvetia Taily,rr,2024 Antalya
Papuren,39.1,7.82,FALSE,Sadeghi Dastak Fatemeh,rr,2024 Antalya
Paiku,39.7,7.94,TRUE,Sakura Alforte,rr,2024 Antalya
Gojushiho Dai,38.5,7.7,FALSE,Jasmin Juettner,rr,2024 Antalya
Anan Dai,39.7,7.94,FALSE,Sadeghi Dastak Fatemeh,rr,2024 Antalya
Anan Dai,40.8,8.16,TRUE,Sakura Alforte,rr,2024 Antalya
Gojushiho Sho,39.6,7.92,TRUE,Helvetia Taily,rr,2024 Antalya
Suparinpei,38.6,7.72,FALSE,Jasmin Juettner,rr,2024 Antalya
Gankaku,39.5,7.9,FALSE,Helvetia Taily,rr,2024 Antalya
Ohan,40.9,8.18,TRUE,Sakura Alforte,rr,2024 Antalya
Suparinpei,39.9,7.98,TRUE,Sadeghi Dastak Fatemeh,rr,2024 Antalya
Sansai,39.5,7.9,FALSE,Jasmin Juettner,rr,2024 Antalya
Chatanyara,41.4,8.28,TRUE,Kiri Mishima,rr,2024 Antalya
Papuren,,,FALSE,Putri Aprilia Krisda,rr,2024 Antalya
Suparinpei,41.4,8.28,FALSE,Kiri Mishima,rr,2024 Antalya
Suparinpei,41.8,8.36,TRUE,Grace Lau,rr,2024 Antalya
Suparinpei,38.9,7.78,FALSE,Putri Aprilia Krisda,rr,2024 Antalya
Tomari Bassai,41.4,8.28,TRUE,Grace Lau,rr,2024 Antalya
Oyadomari No Passai,42.3,8.46,TRUE,Saeko Azuma,r1,2024 Antalya
Anan,41.1,8.22,FALSE,Ana Cruz,r1,2024 Antalya
Papuren,40.6,8.12,TRUE,Dilara Bozan,r1,2024 Antalya
Papuren,40,8,FALSE,Sakura Kokumai,r1,2024 Antalya
Suparinpei,41.6,8.32,FALSE,Natsuki Shimizu,r1,2024 Antalya
Chatanyara,43,8.6,TRUE,Maho Ono,r1,2024 Antalya
Anan,39.3,7.86,FALSE,Sakura Alforte,r1,2024 Antalya
Chibana,41.4,8.28,TRUE,Grace Lau,r1,2024 Antalya
Chibana,42.2,8.44,TRUE,Saeko Azuma,r2,2024 Antalya
Chatanyara,41.4,8.28,FALSE,Dilara Bozan,r2,2024 Antalya
Papuren,42.8,8.56,FALSE,Maho Ono,r2,2024 Antalya
Papuren,44,8.8,TRUE,Grace Lau,r2,2024 Antalya
Papuren,43.2,8.64,FALSE,Saeko Azuma,r3,2024 Antalya
Chatanyara,43.4,8.68,TRUE,Grace Lau,r3,2024 Antalya
Suparinpei,40.7,8.14,FALSE,Ana Cruz,rpc,2024 Antalya
Papuren,41.7,8.34,TRUE,Dilara Bozan,rpc,2024 Antalya
Ohan Dai,41.4,8.28,FALSE,Sakura Alforte,rpc,2024 Antalya
Chatanyara,42.7,8.54,TRUE,Maho Ono,rpc,2024 Antalya
Gojushiho Sho,39.2,7.84,FALSE,Helvetia Taily,rr,2024 Cairo
Kururunfa,40.6,8.12,TRUE,Nodoka Yamada,rr,2024 Cairo
Gojushiho Dai,39.6,7.92,TRUE,Aya Hesham,rr,2024 Cairo
Kururunfa,39.6,7.92,FALSE,Carola Casale,rr,2024 Cairo
Kousoukun Dai,39.5,7.9,FALSE,Nodoka Yamada,rr,2024 Cairo
Gojushiho Sho,39.9,7.98,TRUE,Aya Hesham,rr,2024 Cairo
Gojushiho Dai,39,7.8,FALSE,Helvetia Taily,rr,2024 Cairo
Suparinpei,40,8,TRUE,Carola Casale,rr,2024 Cairo
Unsu,39.1,7.82,FALSE,Helvetia Taily,rr,2024 Cairo
Unsu,39.5,7.9,TRUE,Aya Hesham,rr,2024 Cairo
Papuren,39.5,7.9,FALSE,Nodoka Yamada,rr,2024 Cairo
Papuren,40.4,8.08,TRUE,Carola Casale,rr,2024 Cairo
Papuren,37.6,7.52,FALSE,Athina Tsiakmaki,rr,2024 Cairo
Ohan Dai,38.8,7.76,TRUE,Armada Ruiz Andrea,rr,2024 Cairo
Papuren,40.5,8.1,TRUE,Maho Ono,rr,2024 Cairo
Papuren,39.7,7.94,FALSE,Sakura Kokumai,rr,2024 Cairo
Papuren,39.4,7.88,FALSE,Armada Ruiz Andrea,rr,2024 Cairo
Nipaipo,41.1,8.22,TRUE,Maho Ono,rr,2024 Cairo
Chibana,37.8,7.56,FALSE,Athina Tsiakmaki,rr,2024 Cairo
Kururunfa,39,7.8,TRUE,Sakura Kokumai,rr,2024 Cairo
Anan Dai,38.2,7.64,FALSE,Athina Tsiakmaki,rr,2024 Cairo
Chibana,41,8.2,TRUE,Maho Ono,rr,2024 Cairo
Chibana,38.6,7.72,FALSE,Armada Ruiz Andrea,rr,2024 Cairo
Chatanyara,40.3,8.06,TRUE,Sakura Kokumai,rr,2024 Cairo
Ohan Dai,37.9,7.58,FALSE,Chiara Manca,rr,2024 Cairo
Suparinpei,40.5,8.1,TRUE,Saeko Azuma,rr,2024 Cairo
Kururunfa,40.6,8.12,TRUE,Dilara Bozan,rr,2024 Cairo
Ohan Dai,38.7,7.74,FALSE,Tung Yee Yin,rr,2024 Cairo
Chibana,40.5,8.1,TRUE,Saeko Azuma,rr,2024 Cairo
Chatanyara,40.2,8.04,FALSE,Dilara Bozan,rr,2024 Cairo
Papuren,38.6,7.72,TRUE,Chiara Manca,rr,2024 Cairo
Suparinpei,38.2,7.64,FALSE,Tung Yee Yin,rr,2024 Cairo
Chatanyara,39.2,7.84,FALSE,Chiara Manca,rr,2024 Cairo
Papuren,40.8,8.16,TRUE,Dilara Bozan,rr,2024 Cairo
Papuren,41.4,8.28,TRUE,Saeko Azuma,rr,2024 Cairo
Papuren,39.2,7.84,FALSE,Tung Yee Yin,rr,2024 Cairo
Papuren,39.1,7.82,TRUE,Xenou Georgia Archontia,rr,2024 Cairo
Chibana,38,7.6,FALSE,Lo Sum Man,rr,2024 Cairo
Suparinpei,38.4,7.68,FALSE,Alexandra Feracci,rr,2024 Cairo
Unsu,39.4,7.88,TRUE,Mirisa Ohuchi,rr,2024 Cairo
Chatanyara,38.7,7.74,FALSE,Lo Sum Man,rr,2024 Cairo
Papuren,39.7,7.94,TRUE,Alexandra Feracci,rr,2024 Cairo
Chibana,39.8,7.96,FALSE,Xenou Georgia Archontia,rr,2024 Cairo
Suparinpei,39.8,7.96,TRUE,Mirisa Ohuchi,rr,2024 Cairo
Chatanyara,39.9,7.98,TRUE,Xenou Georgia Archontia,rr,2024 Cairo
Chibana,38.7,7.74,FALSE,Alexandra Feracci,rr,2024 Cairo
Suparinpei,38.7,7.74,FALSE,Lo Sum Man,rr,2024 Cairo
Chibana,40.8,8.16,TRUE,Mirisa Ohuchi,rr,2024 Cairo
Chibana,37.4,7.48,FALSE,Veronika Miskova,rr,2024 Cairo
Suparinpei,37.7,7.54,TRUE,Jasmin Juettner,rr,2024 Cairo
Unsu,38,7.6,FALSE,Jana Khamis,rr,2024 Cairo
Kururunfa,40.3,8.06,TRUE,Natsuki Shimizu,rr,2024 Cairo
Gojushiho Dai,38.5,7.7,FALSE,Jasmin Juettner,rr,2024 Cairo
Gojushiho Sho,40.1,8.02,TRUE,Jana Khamis,rr,2024 Cairo
Matsumura Bassai,38.2,7.64,FALSE,Veronika Miskova,rr,2024 Cairo
Chatanyara,39.7,7.94,TRUE,Natsuki Shimizu,rr,2024 Cairo
Papuren,38.8,7.76,FALSE,Veronika Miskova,rr,2024 Cairo
Gojushiho Dai,39.8,7.96,TRUE,Jana Khamis,rr,2024 Cairo
Gojushiho Sho,39.2,7.84,FALSE,Jasmin Juettner,rr,2024 Cairo
Suparinpei,41,8.2,TRUE,Natsuki Shimizu,rr,2024 Cairo
Kururunfa,38.8,7.76,TRUE,Ana Cruz,rr,2024 Cairo
Papuren,38.7,7.74,FALSE,Wong Sze Man,rr,2024 Cairo
Unsu,37.8,7.56,FALSE,Mariam Elezaby,rr,2024 Cairo
Papuren,40.3,8.06,TRUE,Kiri Mishima,rr,2024 Cairo
Suparinpei,38.5,7.7,FALSE,Wong Sze Man,rr,2024 Cairo
Gojushiho Dai,38.9,7.78,TRUE,Mariam Elezaby,rr,2024 Cairo
Papuren,39.3,7.86,FALSE,Ana Cruz,rr,2024 Cairo
Chatanyara,41.4,8.28,TRUE,Kiri Mishima,rr,2024 Cairo
Ohan Dai,38.8,7.76,FALSE,Ana Cruz,rr,2024 Cairo
Gojushiho Sho,39.7,7.94,TRUE,Mariam Elezaby,rr,2024 Cairo
Kururunfa,38.5,7.7,FALSE,Wong Sze Man,rr,2024 Cairo
Paiku,40.9,8.18,TRUE,Kiri Mishima,rr,2024 Cairo
Gojushiho Dai,38.9,7.78,FALSE,Asmaa Allam,rr,2024 Cairo
Kururunfa,40,8,TRUE,Terryana D'Onofrio,rr,2024 Cairo
Paiku,40.4,8.08,TRUE,Nakaji Hisami,rr,2024 Cairo
Suparinpei,37.8,7.56,FALSE,Shirley Jay,rr,2024 Cairo
Papuren,40.5,8.1,FALSE,Terryana D'Onofrio,rr,2024 Cairo
Papuren,41.6,8.32,TRUE,Nakaji Hisami,rr,2024 Cairo
Gojushiho Sho,40,8,TRUE,Asmaa Allam,rr,2024 Cairo
Chatanyara,37.7,7.54,FALSE,Shirley Jay,rr,2024 Cairo
Unsu,39,7.8,FALSE,Asmaa Allam,rr,2024 Cairo
Kousoukun Sho,,,TRUE,Nakaji Hisami,rr,2024 Cairo
Oyadomari No Passai,40,8,TRUE,Terryana D'Onofrio,rr,2024 Cairo
Anan Dai,38.5,7.7,FALSE,Shirley Jay,rr,2024 Cairo
Anan,39.3,7.86,TRUE,Carolina Amato,rr,2024 Cairo
Gojushiho Sho,38.2,7.64,FALSE,Aya En-Nesyry,rr,2024 Cairo
Nipaipo,36.1,7.22,FALSE,Jana Vanusanikova,rr,2024 Cairo
Tomari Bassai,40.8,8.16,TRUE,Grace Lau,rr,2024 Cairo
Gankaku,38,7.6,TRUE,Aya En-Nesyry,rr,2024 Cairo
Papuren,35.7,7.14,FALSE,Jana Vanusanikova,rr,2024 Cairo
Suparinpei,38.3,7.66,FALSE,Carolina Amato,rr,2024 Cairo
Chibana,39.5,7.9,TRUE,Grace Lau,rr,2024 Cairo
Kururunfa,38.9,7.78,TRUE,Carolina Amato,rr,2024 Cairo
Ohan Dai,36.3,7.26,FALSE,Jana Vanusanikova,rr,2024 Cairo
Unsu,38.4,7.68,FALSE,Aya En-Nesyry,rr,2024 Cairo
Suparinpei,42.4,8.48,TRUE,Grace Lau,rr,2024 Cairo
Kanku Sho,40.8,8.16,FALSE,Aya Hesham,r1,2024 Cairo
Suparinpei,41.5,8.3,TRUE,Maho Ono,r1,2024 Cairo
Oyadomari No Passai,41.8,8.36,TRUE,Saeko Azuma,r1,2024 Cairo
Papuren,40.7,8.14,FALSE,Mirisa Ohuchi,r1,2024 Cairo
Papuren,41.9,8.38,FALSE,Natsuki Shimizu,r1,2024 Cairo
Suparinpei,43.1,8.62,TRUE,Kiri Mishima,r1,2024 Cairo
Chibana,42.2,8.44,FALSE,Nakaji Hisami,r1,2024 Cairo
Papuren,43.9,8.78,TRUE,Grace Lau,r1,2024 Cairo
Chatanyara,42.6,8.52,TRUE,Maho Ono,r2,2024 Cairo
Chatanyara,42,8.4,FALSE,Saeko Azuma,r2,2024 Cairo
Chibana,41.6,8.32,TRUE,Kiri Mishima,r2,2024 Cairo
Chatanyara,41.5,8.3,FALSE,Grace Lau,r2,2024 Cairo
Papuren,42.5,8.5,FALSE,Maho Ono,r3,2024 Cairo
Suparinpei,43,8.6,TRUE,Kiri Mishima,r3,2024 Cairo
Sochin,41.3,8.26,FALSE,Aya Hesham,rpc,2024 Cairo
Papuren,42.7,8.54,TRUE,Saeko Azuma,rpc,2024 Cairo
Kusanku,41.4,8.28,FALSE,Natsuki Shimizu,rpc,2024 Cairo
Papuren,44.1,8.82,TRUE,Grace Lau,rpc,2024 Cairo
Papuren,40.2,8.04,TRUE,Nakaji Hisami,rr,2024 Casablanca
Suparinpei,38.9,7.78,FALSE,Terryana D'Onofrio,rr,2024 Casablanca
Ohan Dai,37.9,7.58,FALSE,Armada Ruiz Andrea,rr,2024 Casablanca
Ohan Dai,38.7,7.74,TRUE,Putri Aprilia Krisda,rr,2024 Casablanca
Anan,38.5,7.7,FALSE,Terryana D'Onofrio,rr,2024 Casablanca
Papuren,38.5,7.7,TRUE,Armada Ruiz Andrea,rr,2024 Casablanca
Paiku,40.3,8.06,TRUE,Nakaji Hisami,rr,2024 Casablanca
Suparinpei,38.7,7.74,FALSE,Putri Aprilia Krisda,rr,2024 Casablanca
Kousoukun Sho,41.3,8.26,TRUE,Nakaji Hisami,rr,2024 Casablanca
Chibana,37.8,7.56,FALSE,Armada Ruiz Andrea,rr,2024 Casablanca
Kururunfa,39.4,7.88,FALSE,Terryana D'Onofrio,rr,2024 Casablanca
Papuren,39.4,7.88,TRUE,Putri Aprilia Krisda,rr,2024 Casablanca
Papuren,39.9,7.98,TRUE,Lo Sum Man,rr,2024 Casablanca
Gojushiho Dai,39.3,7.86,FALSE,Jasmin Juettner,rr,2024 Casablanca
Chatanyara,39.1,7.82,FALSE,Claudia Laos-Loo,rr,2024 Casablanca
Unsu,40.9,8.18,TRUE,Mirisa Ohuchi,rr,2024 Casablanca
Sansai,39.7,7.94,TRUE,Jasmin Juettner,rr,2024 Casablanca
Suparinpei,39.4,7.88,FALSE,Claudia Laos-Loo,rr,2024 Casablanca
Suparinpei,40.5,8.1,FALSE,Lo Sum Man,rr,2024 Casablanca
Chibana,41.7,8.34,TRUE,Mirisa Ohuchi,rr,2024 Casablanca
Chatanyara,39.4,7.88,FALSE,Lo Sum Man,rr,2024 Casablanca
Papuren,40.3,8.06,TRUE,Claudia Laos-Loo,rr,2024 Casablanca
Gojushiho Sho,38.4,7.68,FALSE,Jasmin Juettner,rr,2024 Casablanca
Suparinpei,41.2,8.24,TRUE,Mirisa Ohuchi,rr,2024 Casablanca
Papuren,41.4,8.28,TRUE,Kiri Mishima,rr,2024 Casablanca
